2019-08-04 13:42:47 - PHP Notice:  A non well formed numeric value encountered in /var/www/test.loc/html/system/library/image.php on line 116
2019-08-04 13:42:47 - PHP Notice:  A non well formed numeric value encountered in /var/www/test.loc/html/system/library/image.php on line 116
2019-08-04 13:42:47 - PHP Notice:  A non well formed numeric value encountered in /var/www/test.loc/html/system/library/image.php on line 84
2019-08-04 13:42:47 - PHP Notice:  A non well formed numeric value encountered in /var/www/test.loc/html/system/library/image.php on line 85
2019-08-04 13:42:47 - PHP Notice:  A non well formed numeric value encountered in /var/www/test.loc/html/system/library/image.php on line 101
2019-08-04 13:42:47 - PHP Notice:  A non well formed numeric value encountered in /var/www/test.loc/html/system/library/image.php on line 102
2019-08-04 13:42:47 - PHP Notice:  A non well formed numeric value encountered in /var/www/test.loc/html/system/library/image.php on line 105
2019-08-04 13:42:47 - PHP Notice:  A non well formed numeric value encountered in /var/www/test.loc/html/system/library/image.php on line 105
2019-08-04 13:42:47 - PHP Notice:  A non well formed numeric value encountered in /var/www/test.loc/html/system/library/image.php on line 116
2019-08-04 13:42:47 - PHP Notice:  A non well formed numeric value encountered in /var/www/test.loc/html/system/library/image.php on line 116
